timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/09 23:29:20.103, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.84
2025/03/09 23:29:20.105, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.45
2025/03/09 23:29:20.106, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.95
2025/03/09 23:29:20.107, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.41
2025/03/09 23:29:20.109, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.52
2025/03/09 23:29:20.110, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 9.93
2025/03/09 23:29:20.111, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 11.94
2025/03/09 23:29:20.112, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.57
2025/03/09 23:29:21.114, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.82
2025/03/09 23:29:21.115, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.41
2025/03/09 23:29:21.116, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.01
2025/03/09 23:29:21.117, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.55
2025/03/09 23:29:21.118, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.56
2025/03/09 23:29:21.119, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.08
2025/03/09 23:29:21.120, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 11.97
2025/03/09 23:29:21.120, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.57
